City,Year,Assault,Burglary,Homicide,Other Crimes,Robbery,Theft,Population,Total Crimes,Crime Rate Per 100K
Ghaziabad,2022,17.0,9.0,5.0,95.0,13.0,4.0,2360000.0,143.0,6.0593220338983045
Ghaziabad,2023,16.0,11.0,6.0,107.0,17.0,7.0,2360000.0,164.0,6.949152542372882
Ghaziabad,2024,7.0,4.0,4.0,58.0,6.0,4.0,2360000.0,83.0,3.516949152542373
Hyderabad,2020,56.0,35.0,33.0,410.0,57.0,37.0,7750000.0,628.0,8.103225806451613
Hyderabad,2021,54.0,24.0,29.0,449.0,59.0,40.0,7750000.0,655.0,8.451612903225806
Hyderabad,2022,52.0,31.0,30.0,399.0,60.0,36.0,7750000.0,608.0,7.845161290322581
Hyderabad,2023,56.0,34.0,33.0,452.0,55.0,33.0,7750000.0,663.0,8.55483870967742
Hyderabad,2024,32.0,16.0,15.0,220.0,31.0,13.0,7750000.0,327.0,4.219354838709678
Indore,2020,20.0,7.0,8.0,96.0,22.0,11.0,2170000.0,164.0,7.557603686635945
Indore,2021,13.0,11.0,8.0,105.0,9.0,7.0,2170000.0,153.0,7.050691244239632
Indore,2022,15.0,6.0,10.0,103.0,16.0,6.0,2170000.0,156.0,7.1889400921658995
Indore,2023,12.0,5.0,6.0,85.0,19.0,6.0,2170000.0,133.0,6.129032258064516
Indore,2024,9.0,2.0,2.0,62.0,14.0,4.0,2170000.0,93.0,4.285714285714286
Jaipur,2020,27.0,13.0,15.0,217.0,35.0,22.0,3070000.0,329.0,10.716612377850163
Jaipur,2021,34.0,13.0,20.0,242.0,29.0,17.0,3070000.0,355.0,11.563517915309445
Jaipur,2022,31.0,14.0,17.0,204.0,31.0,10.0,3070000.0,307.0,10.0
Jaipur,2023,35.0,10.0,10.0,196.0,28.0,19.0,3070000.0,298.0,9.706840390879478
Jaipur,2024,15.0,12.0,4.0,128.0,21.0,10.0,3070000.0,190.0,6.188925081433225
Kalyan,2020,8.0,5.0,7.0,52.0,6.0,2.0,4580000.0,80.0,1.7467248908296942
Kalyan,2021,11.0,1.0,2.0,49.0,5.0,2.0,4580000.0,70.0,1.5283842794759825
Kalyan,2022,6.0,2.0,5.0,70.0,9.0,2.0,4580000.0,94.0,2.052401746724891
Kalyan,2023,7.0,4.0,2.0,49.0,8.0,2.0,4580000.0,72.0,1.5720524017467248
Kalyan,2024,5.0,2.0,0.0,25.0,5.0,2.0,4580000.0,39.0,0.851528384279476
Kanpur,2020,20.0,11.0,7.0,166.0,30.0,9.0,2920000.0,243.0,8.321917808219178
Kanpur,2021,16.0,13.0,10.0,152.0,18.0,14.0,2920000.0,223.0,7.636986301369863
Kanpur,2022,27.0,9.0,16.0,183.0,20.0,13.0,2920000.0,268.0,9.178082191780822
Kanpur,2023,22.0,12.0,6.0,164.0,23.0,10.0,2920000.0,237.0,8.116438356164382
Kanpur,2024,12.0,7.0,7.0,99.0,9.0,7.0,2920000.0,141.0,4.828767123287672
Kolkata,2020,57.0,29.0,32.0,376.0,43.0,29.0,14110000.0,566.0,4.0113394755492555
Kolkata,2021,52.0,25.0,19.0,366.0,46.0,27.0,14110000.0,535.0,3.7916371367824238
Kolkata,2022,52.0,31.0,28.0,384.0,43.0,15.0,14110000.0,553.0,3.919206236711552
Kolkata,2023,49.0,37.0,16.0,350.0,53.0,23.0,14110000.0,528.0,3.7420269312544296
Kolkata,2024,35.0,14.0,16.0,226.0,30.0,15.0,14110000.0,336.0,2.3812898653437276
Lucknow,2020,29.0,16.0,14.0,203.0,29.0,15.0,2900000.0,306.0,10.551724137931036
Lucknow,2021,31.0,21.0,28.0,204.0,42.0,12.0,2900000.0,338.0,11.655172413793103
Lucknow,2022,27.0,9.0,14.0,198.0,27.0,16.0,2900000.0,291.0,10.034482758620689
Lucknow,2023,32.0,15.0,18.0,246.0,27.0,13.0,2900000.0,351.0,12.103448275862068
Lucknow,2024,17.0,5.0,6.0,113.0,22.0,7.0,2900000.0,170.0,5.862068965517241
Ludhiana,2020,12.0,9.0,7.0,108.0,14.0,7.0,4580000.0,157.0,3.427947598253275
Ludhiana,2021,15.0,7.0,7.0,119.0,16.0,10.0,4580000.0,174.0,3.799126637554585
Ludhiana,2022,19.0,6.0,10.0,96.0,19.0,6.0,4580000.0,156.0,3.406113537117904
Ludhiana,2023,21.0,10.0,11.0,106.0,23.0,5.0,4580000.0,176.0,3.842794759825327
Ludhiana,2024,14.0,8.0,5.0,61.0,6.0,4.0,4580000.0,98.0,2.1397379912663754
Meerut,2020,9.0,6.0,5.0,68.0,9.0,2.0,4580000.0,99.0,2.1615720524017465
Meerut,2021,9.0,11.0,3.0,33.0,6.0,1.0,4580000.0,63.0,1.3755458515283843
Meerut,2022,14.0,1.0,5.0,53.0,9.0,4.0,4580000.0,86.0,1.8777292576419213
Meerut,2023,10.0,4.0,6.0,59.0,8.0,1.0,4580000.0,88.0,1.9213973799126636
Meerut,2024,2.0,2.0,1.0,43.0,5.0,6.0,4580000.0,59.0,1.2882096069868996
Mumbai,2020,96.0,47.0,48.0,626.0,77.0,39.0,18410000.0,933.0,5.067897881586094
Mumbai,2021,94.0,46.0,44.0,611.0,89.0,57.0,18410000.0,941.0,5.111352525801195
Mumbai,2022,99.0,58.0,47.0,633.0,83.0,46.0,18410000.0,966.0,5.247148288973384
Mumbai,2023,109.0,36.0,53.0,676.0,93.0,59.0,18410000.0,1026.0,5.573058120586638
Mumbai,2024,56.0,30.0,23.0,379.0,45.0,16.0,18410000.0,549.0,2.982074959261271
Nagpur,2020,16.0,7.0,14.0,131.0,27.0,8.0,2500000.0,203.0,8.12
Nagpur,2021,31.0,13.0,12.0,156.0,20.0,7.0,2500000.0,239.0,9.56
Nagpur,2022,24.0,18.0,8.0,169.0,24.0,7.0,2500000.0,250.0,10.0
Nagpur,2023,21.0,15.0,12.0,156.0,19.0,12.0,2500000.0,235.0,9.399999999999999
Nagpur,2024,10.0,5.0,5.0,88.0,14.0,4.0,2500000.0,126.0,5.04
Nashik,2020,10.0,1.0,4.0,46.0,10.0,4.0,4580000.0,75.0,1.6375545851528384
Nashik,2021,8.0,7.0,1.0,49.0,3.0,6.0,4580000.0,74.0,1.6157205240174672
Nashik,2022,13.0,3.0,6.0,63.0,5.0,1.0,4580000.0,91.0,1.9868995633187772
Nashik,2023,12.0,3.0,4.0,48.0,10.0,2.0,4580000.0,79.0,1.724890829694323
Nashik,2024,4.0,4.0,3.0,31.0,4.0,1.0,4580000.0,47.0,1.0262008733624455
Patna,2020,15.0,10.0,5.0,100.0,14.0,5.0,2050000.0,149.0,7.268292682926829
Patna,2021,16.0,3.0,4.0,107.0,17.0,10.0,2050000.0,157.0,7.658536585365854
Patna,2022,18.0,7.0,8.0,91.0,14.0,9.0,2050000.0,147.0,7.170731707317073
Patna,2023,16.0,7.0,2.0,89.0,12.0,6.0,2050000.0,132.0,6.439024390243903
Patna,2024,12.0,7.0,1.0,74.0,10.0,6.0,2050000.0,110.0,5.365853658536586
Pune,2020,49.0,26.0,22.0,317.0,40.0,25.0,5050000.0,479.0,9.485148514851486
Pune,2021,45.0,19.0,19.0,333.0,43.0,12.0,5050000.0,471.0,9.326732673267326
Pune,2022,38.0,28.0,26.0,298.0,54.0,24.0,5050000.0,468.0,9.267326732673267
Pune,2023,41.0,24.0,15.0,343.0,43.0,19.0,5050000.0,485.0,9.603960396039604
Pune,2024,27.0,25.0,13.0,213.0,18.0,13.0,5050000.0,309.0,6.118811881188119
Rajkot,2020,3.0,4.0,5.0,42.0,8.0,1.0,4580000.0,63.0,1.3755458515283843
Rajkot,2021,4.0,3.0,3.0,43.0,9.0,2.0,4580000.0,64.0,1.3973799126637556
Rajkot,2022,7.0,2.0,5.0,44.0,10.0,2.0,4580000.0,70.0,1.5283842794759825
Rajkot,2023,6.0,3.0,4.0,52.0,9.0,2.0,4580000.0,76.0,1.6593886462882095
Rajkot,2024,5.0,2.0,1.0,34.0,2.0,3.0,4580000.0,47.0,1.0262008733624455
Srinagar,2020,5.0,3.0,6.0,64.0,8.0,2.0,4580000.0,88.0,1.9213973799126636
Srinagar,2021,9.0,2.0,4.0,48.0,9.0,3.0,4580000.0,75.0,1.6375545851528384
Srinagar,2022,4.0,5.0,3.0,59.0,7.0,6.0,4580000.0,84.0,1.8340611353711789
Srinagar,2023,8.0,6.0,2.0,48.0,9.0,5.0,4580000.0,78.0,1.703056768558952
Srinagar,2024,3.0,4.0,1.0,33.0,3.0,2.0,4580000.0,46.0,1.0043668122270741
Surat,2020,19.0,9.0,6.0,174.0,27.0,11.0,4580000.0,246.0,5.3711790393013095
Surat,2021,24.0,8.0,11.0,147.0,26.0,11.0,4580000.0,227.0,4.956331877729258
Surat,2022,18.0,9.0,13.0,158.0,26.0,14.0,4580000.0,238.0,5.1965065502183405
Surat,2023,23.0,14.0,9.0,172.0,25.0,11.0,4580000.0,254.0,5.545851528384279
Surat,2024,18.0,7.0,10.0,96.0,11.0,4.0,4580000.0,146.0,3.1877729257641922
Thane,2020,10.0,7.0,7.0,112.0,22.0,9.0,4580000.0,167.0,3.646288209606987
Thane,2021,14.0,6.0,9.0,104.0,12.0,5.0,4580000.0,150.0,3.2751091703056767
Thane,2022,14.0,11.0,8.0,89.0,21.0,4.0,4580000.0,147.0,3.2096069868995634
Thane,2023,10.0,15.0,6.0,104.0,12.0,8.0,4580000.0,155.0,3.3842794759825328
Thane,2024,15.0,6.0,5.0,53.0,5.0,3.0,4580000.0,87.0,1.8995633187772925
Varanasi,2020,6.0,4.0,4.0,63.0,7.0,2.0,4580000.0,86.0,1.8777292576419213
Varanasi,2021,5.0,4.0,4.0,47.0,13.0,1.0,4580000.0,74.0,1.6157205240174672
Varanasi,2022,4.0,7.0,1.0,63.0,6.0,5.0,4580000.0,86.0,1.8777292576419213
Varanasi,2023,8.0,4.0,2.0,42.0,3.0,5.0,4580000.0,64.0,1.3973799126637556
Varanasi,2024,2.0,2.0,2.0,33.0,6.0,0.0,4580000.0,45.0,0.9825327510917031
Vasai,2020,8.0,3.0,7.0,46.0,10.0,2.0,4580000.0,76.0,1.6593886462882095
Vasai,2021,8.0,4.0,1.0,54.0,10.0,4.0,4580000.0,81.0,1.7685589519650657
Vasai,2022,10.0,4.0,5.0,53.0,6.0,5.0,4580000.0,83.0,1.8122270742358078
Vasai,2023,8.0,2.0,5.0,54.0,10.0,8.0,4580000.0,87.0,1.8995633187772925
Vasai,2024,6.0,2.0,1.0,25.0,1.0,0.0,4580000.0,35.0,0.7641921397379913
Visakhapatnam,2020,13.0,5.0,9.0,120.0,15.0,5.0,4580000.0,167.0,3.646288209606987
Visakhapatnam,2021,21.0,9.0,5.0,101.0,10.0,4.0,4580000.0,150.0,3.2751091703056767
Visakhapatnam,2022,12.0,7.0,4.0,106.0,12.0,11.0,4580000.0,152.0,3.318777292576419
Visakhapatnam,2023,11.0,5.0,5.0,104.0,11.0,13.0,4580000.0,149.0,3.253275109170305
Visakhapatnam,2024,12.0,6.0,8.0,68.0,11.0,5.0,4580000.0,110.0,2.4017467248908297
